"","ad1","ad2","ad3","egg1","egg2","juv1","juv2","met1","met2","met3","nej_1h1","nej_1h23","nej_24h1","nej_24h2","nej_3h1","nej_3h2"
"rnd-1_family-0#LINE/CR1",1797.91181359866,784.494425763438,1105.00578960806,1447.51601332815,1020.81303937913,873.148880893259,1047.687828258,1618.74160456692,2165.75373427788,1936.33588491574,1929.55269913364,2345.75543197248,1891.83128839818,1834.59512222828,2901.56699424764,2145.49657146166
"rnd-1_family-1#Unknown",6613.14020421358,3539.90132520677,4119.53362907355,3415.4662938622,3016.85914499994,2581.03534863728,5787.05677409211,1858.61063836557,2225.27625308192,1661.59398635799,1435.31320715133,1689.35219396675,2534.23308797807,1594.65635991565,5136.19781665559,2971.73967301988
"rnd-1_family-10#Unknown",1157.51893807846,1861.70915693607,1694.40238429334,2924.88284813492,4415.07039813168,579.757510345462,1433.32308071612,704.597596362057,1300.41644475448,816.580705320151,1302.36771316854,768.113863761487,1357.63027959037,1337.90876341491,2061.52220226671,2016.1441626693
"rnd-1_family-100#Unknown",201.445184426326,178.750719449069,297.637440574418,366.366503696636,452.456168527064,327.979005310381,215.161954806298,218.732095499916,238.213469412942,240.464217160881,284.520590186008,215.819611310188,203.366416200763,157.413318279743,240.456446056411,233.109873779443
"rnd-1_family-101#Unknown",1009.90603372946,42.1946657176852,0,1350.38464528296,465.130750017106,85.3594777039513,450.585581383755,1422.23384685231,308.869055861192,263.574772121806,731.352619178573,552.661543073704,0.349272298294434,0.0414891102660802,487.737067248193,434.026535890145
"rnd-1_family-102#LTR/Pao",333.087963942929,390.091370754046,583.112799700778,494.637826826219,727.639227406367,331.109905683071,341.233327825149,255.913432244907,267.07460441435,208.989567548404,387.395157953508,245.727428935605,429.942972965796,440.138683601928,556.970401539586,453.649936352547
"rnd-1_family-103#Unknown",131.565376695158,69.2047634079526,101.434341260495,59.1206627350364,44.8773956890935,66.3544773826189,45.1788825807049,49.2646779523828,59.203155019961,33.0472618432761,81.4334219360401,60.4441943083053,334.527334008079,363.036708406462,86.2597484088745,89.8499703934579
"rnd-1_family-104#Unknown",885.7644367444,804.572967427218,828.997821680475,878.913156804729,1030.05027447699,995.698022961081,1354.54414579022,1934.9143210829,1948.33425264161,1627.08614542199,3696.98659338641,1444.62306584892,2742.68732506467,2389.27949651618,1710.48985058634,1242.42552167882
"rnd-1_family-105#Unknown",111.255282693408,317.780952899215,803.494224662237,294.431786528151,252.511221356106,63.9052721274787,285.483935101565,149.814993070693,112.417016313036,85.2762284009674,66.7645567584129,121.456945475325,111.779857246967,152.185701658625,185.71772573591,145.487271029071
"rnd-1_family-106#Unknown",27.881275999541,62.0707530703209,63.9008372987761,53.4349142694305,42.77152610883,58.8654328750584,72.9615447240609,38.1245767252023,52.3145459814783,46.3260599875678,40.2322366267923,53.1369749333752,23.7047146377134,39.4796616256472,27.8352743368286,28.5568040309024
"rnd-1_family-107#Unknown",1689.13880789464,1388.13700149856,2037.84743151984,1164.56294840532,2048.88811848955,1115.63196707188,1167.90261214805,1297.1693460844,1978.7132983245,1343.25113006171,1498.5375476967,1510.64263519599,1638.08971474981,1523.81246477712,2242.92658483861,1832.34145493792
"rnd-1_family-108#LINE/Penelope",351.030126259933,371.281910220669,515.543644631727,286.77014700869,390.17008516072,483.576663613285,527.525876118628,998.399434896061,755.799150840528,801.741259215242,897.22648723792,765.765396005277,926.646958651315,910.801136401416,976.522640677219,811.786203422648
"rnd-1_family-109#LTR/Pao",591.866087646588,139.645242389275,71.2730018366399,267.866157303092,162.26621914098,156.111814415585,80.8166370991639,61.2734818165995,44.1665902257084,49.9264718505191,54.8564507385309,48.0116622622773,65.6176956131042,67.4795957329908,46.3334225829813,53.3665625417051
